fip_title,resource_pref_id,reslabel
ICOS FIP 2020,http://purl.org/np/RAnAWGdeI_1GGmDAqv-vZjby5XqbL2ZujNz1vgwK_6cRI#DOI,DOI | Digital Object Identifier
ICOS FIP 2020,http://purl.org/np/RAkc-x5DEBnK06XXpw4uh1ZzZcfEF4Kc8zV4m9xUw6j28#ePIC,ePIC | Persistent Identifier Consortium for eResearch
ACTRIS_CLU_FIP_2022,http://purl.org/np/RAZLyn_uD-ciJ_ktBEDz84jouGoMdHe49t-63HwnRgKTo#CF_SN,CF SN | Climate and Forecast Standard Names Parameter Vocabulary
ACTRIS ASC FIP 2019,http://purl.org/np/RAhixhioRuOn3wpxcLB9oO2sIP98gkaMc5zEcimd9KH5Y#GCMD,GCMD Keywords | Global Change Master Directory Keywords
SeaDataNET CDI FIP 2022,http://purl.org/np/RAUhotKhSj2m1ftHGPXAYyL2QgY60L6mYrunOzQwGZJ44#Google_Dataset_Search,Google Dataset Search
SeaDataNET CDI FIP 2020,http://purl.org/np/RAny8a_ZxXjhgNkl0LjdTIU6OYLhnrtax9AmXyvxhbs3Q#SDN_DP,SDN DP | SeadataNet Data Policy and User License
SeaDataNET CDI FIP 2020,http://purl.org/np/RA9ilkEYiR7_Ed53QvhieSd8hpwXdy5cQtAd3vp_rOMN0#SDN_DA_L_1.0,SDN DA L 1.0 | SeaDataNet Data Access License 1.0
WorldFAIR WP04 NANOMATERIALS FIP01,http://purl.org/np/RA3ANxquLS74NljEgj7Z9zGzEwwZRv8cc8BcCX1YjlFkY#Frictionless,Frictionless datapackage metadata standard
ICOS FIP 2021,http://purl.org/np/RAFO4Lu8kp5j6xTN5MZ3qRLO_yZkGCuefm0dzboWA9Ygo#WMS,WMS | Web Map Service
EuroArgo FIP 2020,http://purl.org/np/RAm-5N-Essj5oekn7Qd_KgooUYAk9Szk3bBK9R3jcGnlM#NetCDF_CF1.7,NetCDF CF-1.7
ICOS FIP 2020,http://purl.org/np/RAuGuytQvgeS-rPY0vbF6lNF0Uc2jQRHrPXu597k4iISk#RDFS,RDFS | Resource Description Framework Schema
ACTRIS DVAS FIP 2021,http://purl.org/np/RAMy1D1igtlNYb4D-De_ODeCgFF9OMTIkvrS6SpTFONpQ#WMO_Search,WMO Search | World Meteorological Organization Search
ACTRIS ASC FIP 2021,http://purl.org/np/RANGw57Qlx5BklwMWCP1srqv4KG1o1I8cvA2IRaHq_HDg#DataCite,DataCite | DataCite Ontology
NORMAN Database System- MassBank EU,https://doi.org/10.25504/FAIRsharing.dk451a,MassBank Europe
